Mu,T2,m,t2w,se,Nmax,hack,rho,k,k.hacked,MhatAll,MhatLoAll,MhatHiAll,MhatCoverAll,MhatPvalAll,MhatNaive,MhatLoNaive,MhatHiNaive,MhatCoverNaive,MhatPvalNaive,methName,MhatCorr,MhatLoCorr,MhatHiCorr,MhatCoverCorr,VhatCorr,kNonaffirmPub,kNonaffirmPubUnhacked,kNonaffirmPubHacked,TheoryExpTstat,MeanTstat,MeanTstatUnhacked,MeanTstatHacked,TheoryVarTstat,EstVarTstat,EstVarTstatUnhacked,EstVarTstatHacked,TheoryExpTstatMarg,tstatMeanMLE,tstatMeanMLELo,tstatMeanMLEHi,tstatMeanMLECover,Mean.yi,Mean.yi.Unhacked,Mean.yi.Hacked,Mean.vi,Mean.vi.Unhacked,Mean.vi.Hacked,dp.k,dp.kAffirm,dp.kNonaffirm,dp.Nrealized
0.1,0,500,0,0.5,1,affirm,0,100,0,0.1,0,0.2,0.97,0.15,0.1,0,0.2,0.96,0.15,,0.1,-0.02,0.22,0.95,0,96.07,96.07,0,0.11,0.11,0.11,,0.84,0.85,0.85,,0.2,0.21,-0.03,0.45,0.95,0.06,0.06,,0.25,0.25,,100,3.93,96.07,1
0.1,0,500,0,0.5,1,affirm,0,100,50,0.1,0,0.2,0.96,0.16,0.14,-0.01,0.29,0.93,0.18,,0.1,-0.07,0.27,0.95,0,47.93,47.93,0,0.11,0.1,0.1,,0.84,0.84,0.84,,0.2,0.2,-0.14,0.54,0.95,0.05,0.05,,0.25,0.25,,51.93,4.01,47.93,1
0.1,0,500,0,0.5,10,affirm,0,100,0,0.1,0.07,0.13,0.95,0,0.1,0,0.2,0.94,0.15,,0.11,-0.01,0.23,0.96,0,96.17,96.17,0,0.11,0.12,0.12,,0.84,0.84,0.84,,0.2,0.21,-0.03,0.45,0.96,0.06,0.06,,0.25,0.25,,100,3.83,96.17,10
0.1,0,500,0,0.5,10,affirm,0,100,50,0.1,0.07,0.13,0.96,0,0.37,0.21,0.52,0.07,0,,0.11,-0.07,0.28,0.96,0,47.99,47.99,0,0.11,0.11,0.11,,0.84,0.84,0.84,,0.2,0.21,-0.13,0.55,0.96,0.06,0.06,,0.25,0.25,,66.34,18.35,47.99,8.83
0.1,0,500,0,0.5,10,affirm,0.9,100,0,0.1,0.07,0.13,0.96,0,0.1,0,0.2,0.95,0.15,,0.1,-0.02,0.22,0.95,0,96.01,96.01,0,0.11,0.11,0.11,,0.84,0.83,0.83,,0.2,0.2,-0.03,0.44,0.95,0.06,0.06,,0.25,0.25,,100,3.99,96.01,10
0.1,0,500,0,0.5,10,affirm,0.9,100,50,0.1,0.07,0.13,0.95,0,0.37,0.21,0.52,0.06,0,,0.1,-0.07,0.27,0.95,0,47.92,47.92,0,0.11,0.11,0.11,,0.84,0.83,0.83,,0.2,0.21,-0.13,0.54,0.95,0.06,0.06,,0.25,0.25,,66.38,18.46,47.92,8.81
0.1,0,500,0.25,0.5,1,affirm,0,100,0,0.1,-0.03,0.24,0.94,0.26,0.1,-0.03,0.24,0.94,0.26,,0.12,-0.11,0.35,0.96,0.25,89.56,89.56,0,-0.09,-0.08,-0.08,,1.4,1.39,1.39,,0.2,0.24,-0.23,0.7,0.96,-0.04,-0.04,,0.25,0.25,,100,10.44,89.56,1
0.1,0,500,0.25,0.5,1,affirm,0,100,50,0.1,-0.04,0.24,0.96,0.25,0.22,0.01,0.42,0.79,0.12,,0.12,-0.22,0.43,0.93,0.26,44.7,44.7,0,-0.09,-0.09,-0.09,,1.4,1.38,1.38,,0.2,0.25,-0.45,0.87,0.93,-0.05,-0.05,,0.25,0.25,,55.57,10.87,44.7,1
0.1,0,500,0.25,0.5,10,affirm,0,100,0,0.1,0.06,0.14,0.95,0,0.1,-0.04,0.24,0.94,0.28,,0.12,-0.12,0.34,0.96,0.27,89.6,89.6,0,-0.09,-0.09,-0.09,,1.4,1.42,1.42,,0.2,0.24,-0.24,0.69,0.96,-0.04,-0.04,,0.25,0.25,,100,10.4,89.6,10
0.1,0,500,0.25,0.5,10,affirm,0,100,50,0.12,0.07,0.17,0.88,0,0.59,0.41,0.77,0,0,,0.13,-0.22,0.47,0.94,0.26,44.74,44.74,0,-0.09,-0.08,-0.08,,1.4,1.41,1.41,,0.2,0.26,-0.44,0.93,0.94,-0.04,-0.04,,0.25,0.25,,83.65,38.91,44.74,7.84
0.1,0,500,0.25,0.5,10,affirm,0.9,100,0,0.1,0.01,0.19,0.94,0.12,0.1,-0.04,0.24,0.94,0.27,,0.13,-0.12,0.35,0.95,0.28,89.23,89.23,0,-0.09,-0.09,-0.09,,1.4,1.42,1.42,,0.2,0.26,-0.25,0.7,0.95,-0.05,-0.05,,0.25,0.25,,100,10.77,89.23,10
0.1,0,500,0.25,0.5,10,affirm,0.9,100,50,0.11,0.02,0.2,0.95,0.1,0.48,0.29,0.67,0.02,0,,0.14,-0.24,0.46,0.92,0.28,44.63,44.63,0,-0.09,-0.09,-0.09,,1.4,1.39,1.39,,0.2,0.29,-0.47,0.93,0.92,-0.05,-0.05,,0.25,0.25,,74.25,29.63,44.63,8.12
0.1,0.25,500,0,0.5,1,affirm,0,100,0,0.1,-0.04,0.24,0.95,0.28,0.1,-0.04,0.24,0.95,0.28,,0.15,-0.12,0.35,0.95,0.3,89.44,89.44,0,-0.09,-0.09,-0.09,,1.4,1.42,1.42,,0.2,0.29,-0.24,0.7,0.95,-0.04,-0.04,,0.25,0.25,,100,10.56,89.44,1
0.1,0.25,500,0,0.5,1,affirm,0,100,50,0.1,-0.04,0.24,0.94,0.27,0.21,0.01,0.42,0.81,0.13,,0.15,-0.23,0.48,0.94,0.3,44.62,44.62,0,-0.09,-0.1,-0.1,,1.4,1.43,1.43,,0.2,0.3,-0.47,0.96,0.94,-0.05,-0.05,,0.25,0.25,,55.31,10.69,44.62,1
0.1,0.25,500,0,0.5,10,affirm,0,100,0,0.1,0,0.2,0.95,0.15,0.1,-0.04,0.24,0.95,0.25,,0.13,-0.12,0.35,0.93,0.27,89.42,89.42,0,-0.09,-0.08,-0.08,,1.4,1.41,1.41,,0.2,0.26,-0.24,0.71,0.93,-0.04,-0.04,,0.25,0.25,,100,10.58,89.42,10
0.1,0.25,500,0,0.5,10,affirm,0,100,50,0.1,-0.01,0.2,0.94,0.17,0.44,0.25,0.63,0.04,0,,0.14,-0.22,0.44,0.96,0.27,44.7,44.7,0,-0.09,-0.09,-0.09,,1.4,1.4,1.4,,0.2,0.27,-0.44,0.89,0.96,-0.04,-0.04,,0.25,0.25,,71,26.3,44.7,8.2
