study,pval,tstat,tcrit,mui,muin,yi,vi,viTrue,m,N,hack,rhoEmp,covEmp,signif,affirm,Di,sei
1,0.976566524118962,-0.0293884627716074,1.96472939098769,0.228650867019148,0.284757555604178,-0.0139269549497555,0.224573548650773,0.25,500,1,no,,,FALSE,FALSE,1,0.473891916633712
2,0.772899408291505,-0.288741109558545,1.96472939098769,0.433515562743416,0.60736994311198,-0.154594583676092,0.286662778546992,0.25,500,1,no,,,FALSE,FALSE,1,0.535408982504956
3,0.829322268697685,0.215683918481609,1.96472939098769,0.596808955948634,0.285481295356303,0.108843647888796,0.254665812551637,0.25,500,1,no,,,FALSE,FALSE,1,0.504644243553453
5,0.26277702133754,1.12111765435332,1.96472939098769,0.441473364976294,0.167253406406205,0.560639029879215,0.25007154328522,0.25,500,1,no,,,FALSE,FALSE,1,0.500071538167511
6,0.28646000191489,1.06706158427001,1.96472939098769,0.555760812368773,0.790211250107615,0.529765060170826,0.24648338718346,0.25,500,1,no,,,FALSE,FALSE,1,0.496470932868643
7,0.0813489990068326,1.74644483808323,1.96472939098769,0.0101588146576449,-0.302956679269323,0.879184282951369,0.253425367855911,0.25,500,1,no,,,FALSE,FALSE,1,0.503413714409839
9,0.713281813381901,-0.367661133902311,1.96472939098769,0.301889076609432,0.403524931429447,-0.190800767648432,0.269317634205241,0.25,500,1,no,,,FALSE,FALSE,1,0.518958220096032
10,0.948627514429895,0.0644628347962646,1.96472939098769,-0.0426842835736869,0.559260677017297,0.0321550891205363,0.248817335599853,0.25,500,1,no,,,FALSE,FALSE,1,0.498815933586581
11,0.688096439673273,-0.40167331001808,1.96472939098769,-0.423452787461288,-0.121300695766974,-0.197020525355926,0.240589680440485,0.25,500,1,no,,,FALSE,FALSE,1,0.490499419408918
13,0.000352630138849275,-3.59801171974931,1.96472939098769,-0.667377169977769,-1.27101309136906,-1.86697187414173,0.269246708905434,0.25,500,1,no,,,TRUE,FALSE,1,0.518889881290273
14,0.145975679494798,1.45616577361564,1.96472939098769,0.0774797222202598,0.56043365026553,0.74234711303705,0.259891699962871,0.25,500,1,no,,,FALSE,FALSE,1,0.50979574337461
15,0.0781730965037002,1.76501368201237,1.96472939098769,0.136978635672867,0.432174999747289,0.908418711682691,0.264896359605727,0.25,500,1,no,,,FALSE,FALSE,1,0.514680832755337
16,0.769185008390981,-0.293600835264298,1.96472939098769,0.185989541793211,0.625221548398803,-0.153763753225149,0.274279512439186,0.25,500,1,no,,,FALSE,FALSE,1,0.523717015609753
17,0.792083251666169,0.263747657244994,1.96472939098769,0.348373217863627,0.53753663238954,0.131526683449219,0.248685530465918,0.25,500,1,no,,,FALSE,FALSE,1,0.49868379807842
18,0.820845469186877,-0.226576992347892,1.96472939098769,0.270641408227636,0.176361488052315,-0.115649813898348,0.260530313107074,0.25,500,1,no,,,FALSE,FALSE,1,0.510421701250127
