study,pval,tstat,tcrit,mui,muin,yi,vi,viTrue,m,N,hack,signif,affirm,Di,Mu,T2,t2w,se,Nmax,k,k.hacked
1,1.17285961730485e-06,4.92076980249569,1.96472939098769,1.52164990644788,2.44248021618564,2.4737832179821,0.252730222776525,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
2,1.33888715894402e-08,5.77710706547177,1.96472939098769,1.77417391919418,1.43390183013609,2.90361165884161,0.252613310640076,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
3,1.08454126365557e-08,5.81484293699942,1.96472939098769,1.40331227154676,2.66301317166195,2.91753523935925,0.25174232767355,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
4,0.000904352264605862,3.33879178319778,1.96472939098769,1.09895444537155,1.26952241369069,1.73305096513507,0.269428787701299,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
5,0.454160477754188,0.749082441562427,1.96472939098769,0.892094087986259,0.848759682818457,0.375961631050602,0.251899795766999,0.25,500,1,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,1,10000,10000
6,2.99813259151275e-05,4.21243801068853,1.96472939098769,0.952701407065905,1.3263318836526,2.08064955015791,0.24396685511023,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
7,0.387886771410704,-0.864211809950866,1.96472939098769,0.408920246711397,0.300342185855234,-0.418728109383763,0.234759858277618,0.25,500,1,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,1,10000,10000
8,0.0167529299833381,2.40016761057936,1.96472939098769,0.93256570383536,1.35444272951954,1.23275263111414,0.26379632115411,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
9,0.90803912904103,-0.115570887254957,1.96472939098769,0.700509353873762,-0.149268543856508,-0.0589006210413087,0.259742402388437,0.25,500,1,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,1,10000,10000
10,2.44332331273979e-08,5.66823228528189,1.96472939098769,1.43792188900147,2.43302190363415,2.80101137853187,0.244193706737841,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
11,0.00304443295826048,2.97780147429117,1.96472939098769,0.874202609429237,1.32676808520229,1.39186088918052,0.218474212086956,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
12,0.000221895041573226,3.71994515529742,1.96472939098769,1.48158028202274,1.31806687906554,1.83341438633443,0.242911567091391,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
13,0.00335300232986505,2.94755171708615,1.96472939098769,1.248596428354,1.69809565328173,1.4727378956937,0.249647979938436,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
14,0.300856099589992,-1.03567354119332,1.96472939098769,0.536030936071292,0.0362793216830762,-0.536512980875125,0.268358098364768,0.25,500,1,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,1,10000,10000
15,0.0197714219157372,2.33819117446354,1.96472939098769,1.29499790532408,0.853189791394253,1.11417338323472,0.227062557246164,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
16,8.95620535608329e-06,4.48747970333231,1.96472939098769,1.31905539054358,1.14923503689731,2.26761022974187,0.255347623619799,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
17,0.680295460298715,0.412301577129622,1.96472939098769,1.07107069445646,0.742781475386975,0.210987176020147,0.261867816197676,0.25,500,1,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,1,10000,10000
18,0.000106323780006168,3.90702006221563,1.96472939098769,1.16192430156655,1.29019459116169,1.88454037777176,0.232658868364596,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
19,0.0103168798131247,2.5747985833982,1.96472939098769,1.14418943639685,1.07213400876178,1.24309768284076,0.233090187279494,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
20,0.00820240896434447,2.65424304399497,1.96472939098769,1.24048423068548,1.45390793285756,1.30089287820837,0.240215870328684,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
21,0.0431039630513009,2.02787352866773,1.96472939098769,0.464609103240214,1.00982426817699,0.981338390439634,0.234183259139857,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
22,0.096078621358309,1.66731796601094,1.96472939098769,0.522087034860796,1.04714058788018,0.798952507810528,0.229617544733046,0.25,500,1,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,1,10000,10000
23,0.719016094481724,0.359977727390427,1.96472939098769,1.05826609750051,0.937596777947823,0.177293094162914,0.242567368792483,0.25,500,1,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,1,10000,10000
24,0.0528416812492136,1.9408299750889,1.96472939098769,1.1805040842011,0.916738318411512,0.978286621324043,0.254072257599304,0.25,500,1,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,1,10000,10000
25,0.26903477407328,1.10651973381746,1.96472939098769,1.59119665745433,1.40079102673934,0.563724671840586,0.259546847204219,0.25,500,1,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,1,10000,10000
26,0.210210917164823,1.25460110101301,1.96472939098769,1.29558930174163,0.810896557217644,0.62210731986397,0.24587778613526,0.25,500,1,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,1,10000,10000
27,0.00757524253641476,2.68135805815257,1.96472939098769,1.87626252535837,2.10481789954676,1.35148318443255,0.254045595159688,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,1,10000,10000
