study,pval,tstat,tcrit,mui,muin,yi,vi,viTrue,m,N,hack,signif,affirm,Di,Mu,T2,m,t2w,se,Nmax,hack,k,k.hacked
1,0.047641590122329,2.03154295443218,2.00957523712924,0.976642876811063,1.17594666883391,2.16430711527009,1.13497358933619,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
4,0.0293651843489146,2.24426740707959,2.00957523712924,1.23257319791143,0.781095754110628,2.42066561839925,1.16337679994485,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
5,0.0095081764679253,2.69932296505516,2.00957523712924,0.579299430128523,0.402281426148041,2.18098537012551,0.652823539224492,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
7,0.00055836156436367,3.69252967646879,2.00957523712924,0.734061637558819,1.1523707208222,3.26491420379816,0.781799805011236,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
8,0.017070167420688,2.46931025100007,2.00957523712924,0.816192673647243,1.26177975414152,2.59184433825277,1.10170802102961,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
11,0.020747045627171,2.38983328540253,2.00957523712924,0.74886924818622,0.24189166905537,2.3030654632457,0.928704081256001,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
15,0.0429162529486255,2.07855610165917,2.00957523712924,0.774381581400479,0.831486117470736,2.25234375179424,1.174210188424,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
16,0.00143768309225111,3.37819000394779,2.00957523712924,1.04727281405629,1.02043415513085,3.17369482825602,0.8825964641627,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
21,0.0302093037533775,2.2321464727274,2.00957523712924,1.18748875376737,1.16775668101008,2.47983197126463,1.23423861763374,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
23,0.0104247386580999,2.66391461252826,2.00957523712924,1.68344786157895,1.81372919962467,2.53326017665592,0.904313453152404,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
25,0.00446826821346908,2.98066388067939,2.00957523712924,1.03181844939238,1.75887362858625,2.92962888624284,0.966049118386319,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
27,0.0390954945349777,2.11999154403854,2.00957523712924,1.2426546457804,1.31465959312927,1.98895357893493,0.880199336313057,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
29,0.00869974908282074,2.73326172171912,2.00957523712924,0.889376275457419,1.20809177395534,2.74950325218402,1.01191966753587,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
30,0.00385732270431678,3.03373484814937,2.00957523712924,1.38585772292911,2.00891154653266,2.77414141107409,0.836184186474208,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
31,0.00077157664620879,3.58651699751544,2.00957523712924,1.44099024226488,1.20219180094997,2.68632268387928,0.561009960318099,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
32,0.0413346523791515,2.09530122143078,2.00957523712924,1.40148150959893,1.2266318394879,2.16405893376176,1.06670722127149,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
33,0.0222593227534434,2.36078456786838,2.00957523712924,1.35766095259793,1.4445229565874,2.00869661825915,0.723962350960256,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
37,0.000118188193942524,4.1842335569519,2.00957523712924,1.28937077480518,1.54758676609694,4.77113429439294,1.30020384378056,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
39,0.00220661610924873,3.23100716284268,2.00957523712924,1.46993854270881,1.47928910924718,3.08945552057763,0.914298594913167,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
40,0.0111797973915166,2.63682934392471,2.00957523712924,0.450562577479291,0.734803850336425,2.24111924343722,0.722380282335752,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
44,0.0195204842876004,2.41482642388235,2.00957523712924,1.16533119537971,1.14324443490324,2.2716733584316,0.884952439363303,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
49,0.00470729616101375,2.96172999465719,2.00957523712924,0.589284473937716,0.668355205589253,3.28363927230358,1.22919265102382,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
52,0.00744915288332679,2.79197246871286,2.00957523712924,1.90067449281836,1.91321364426084,2.58844846207884,0.859521573417453,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
55,9.40535096928249e-05,4.25455729127328,2.00957523712924,0.945879893545572,1.20988872721565,3.7483318804788,0.776188709334683,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
57,0.0238509556651868,2.33206306034693,2.00957523712924,1.55398156741094,1.90657641616087,2.20617166562691,0.894948460797046,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
61,0.0282184956120421,2.2612378199957,2.00957523712924,0.437836742784535,0.827773712940374,1.95259425793196,0.745644011936837,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
64,0.0385850182478962,2.12579311596297,2.00957523712924,0.800547142553265,1.14726491791825,2.41782812341595,1.29362636154427,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
66,0.0159336415764461,2.49702451272133,2.00957523712924,1.24872971349877,1.65895312165562,2.24182182647618,0.806039963785939,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
67,0.0339907095012345,2.18127723554453,2.00957523712924,0.940509656684954,1.03264202638042,2.1064603075338,0.932577270225947,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
72,0.00135308505418996,3.39876265859415,2.00957523712924,0.94439338982542,1.2091794385493,3.43992137353724,1.02436647291962,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
76,0.00193073111237716,3.27725072539767,2.00957523712924,0.916686780698792,1.41224674683956,2.60712656615931,0.63285598778912,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
77,0.0105286309301921,2.66008316152676,2.00957523712924,0.596649656082567,0.890362282505791,2.38883737817841,0.80645983667682,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
78,0.000927579689986912,3.52549886783664,2.00957523712924,1.04379204646595,1.41282247305264,3.40570063582571,0.933193664662563,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
79,0.0290627025039711,2.24868608847958,2.00957523712924,0.828933210736052,0.542634499636744,2.25926630180605,1.00943226684634,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
81,0.000857003020548515,3.55178307963793,2.00957523712924,1.0585798043079,1.12544236651878,4.05006621965004,1.30026352614671,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
84,0.00312632976887313,3.10872347175622,2.00957523712924,1.402633813667,1.60621087737866,3.05583396967765,0.966262942787752,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
86,0.00526160496844024,2.92106024141194,2.00957523712924,1.08408494203364,1.31735588626888,2.22307213434414,0.579196705239419,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
93,0.0068982399933832,2.82078320127797,2.00957523712924,1.1319604464192,1.17350725944999,2.6600395463068,0.889276404808597,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
94,0.00398870309460314,3.02168969623056,2.00957523712924,1.63582671466337,1.9528761479206,2.91061894625277,0.92783548201212,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
95,0.0264984770169142,2.28787911760728,2.00957523712924,1.42653753557781,1.71121391652008,2.18753262141486,0.914203600893259,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
99,0.000259550907929721,3.9383541561134,2.00957523712924,0.838492399977468,1.90318131175435,3.73918960837312,0.901416371184678,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
100,0.0276512401549397,2.26986049871477,2.00957523712924,0.673491066045964,0.849499259141244,2.13610441158721,0.885618376801757,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
101,0.0132510034140838,2.57031672078708,2.00957523712924,1.44325749990291,1.44793702614362,2.36770247972413,0.848556911311501,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
102,0.0058416794427204,2.88256728450592,2.00957523712924,1.62789153546978,2.25806627018296,3.11964092280499,1.17125190624971,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
110,0.0139982494615647,2.54863573509657,2.00957523712924,1.23046836503703,2.10213638500749,2.84944247355296,1.24998341514204,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
113,0.0265993279463366,2.28627517825764,2.00957523712924,1.46749695506228,1.44572016698079,2.0750869163326,0.823788228172945,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
115,0.0314042029655898,2.21549157621934,2.00957523712924,1.23643924746578,1.14926285713779,2.23540688948762,1.01805903847686,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
120,0.000165001163108747,4.08067167119199,2.00957523712924,0.929790494330702,1.19719852082753,3.5631349395284,0.762432206767218,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
121,0.0114097272550773,2.62891391078575,2.00957523712924,0.681877675406691,1.18013705537662,2.73690851876005,1.08384663539251,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
123,0.00347652773942616,3.0709526130393,2.00957523712924,1.36414199825874,1.23825143224873,3.00840578101796,0.959680342472786,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
124,0.0224647566240931,2.35697599291878,2.00957523712924,0.598517632506236,0.544941500139088,1.89935298612826,0.649383201220082,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
127,0.0135078932341208,2.5627403716694,2.00957523712924,0.7937656518694,1.62721590488583,2.4278694200651,0.897514407780979,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
128,0.0414234760167197,2.09434611542682,2.00957523712924,1.06652453142123,1.77945675477701,1.88774767756816,0.812439402615351,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
134,0.00507182856707842,2.93451475911371,2.00957523712924,1.53828758569362,1.78798892890671,2.47213965258682,0.709697711889667,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
137,0.00221828234981674,3.22917449262178,2.00957523712924,0.853453011574282,1.38187447591283,2.69199727704966,0.694970237211549,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
138,0.049983435933545,2.00972637091419,2.00957523712924,1.36530121931115,1.57920489029506,1.84298020889588,0.840944782892912,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
141,0.01273634762927,2.58590676801625,2.00957523712924,1.00338667786616,1.35571494781011,2.55167212397589,0.973697405182932,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
142,0.027724480545119,2.26873840398933,2.00957523712924,0.957528510768815,0.991453787922775,2.1877999608336,0.929921685003212,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
152,0.0408913430564191,2.10009501338553,2.00957523712924,1.08274073175945,1.50537202619825,2.1469624059471,1.04513163193595,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
153,0.0311024824864455,2.21964343167122,2.00957523712924,1.26463086496308,1.16571349437608,2.5682269269787,1.33875270726988,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
154,0.0039081666765529,3.0290284985084,2.00957523712924,0.83933498345614,1.44450049390605,2.84195880470572,0.880296221929105,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
156,0.015740967778328,2.5018994924717,2.00957523712924,0.581974523598699,0.654685440763142,2.61403286146912,1.09164735718639,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
164,0.00419845901291745,3.00320758005749,2.00957523712924,0.379141784091297,0.802502532824019,3.00980810506577,1.00440048064072,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
165,0.0219241281344907,2.36706697685162,2.00957523712924,1.00557756068829,0.779352217146823,2.08193263027301,0.773592500275652,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,2,affirm,2000,2000
