study,pval,tstat,tcrit,mui,muin,yi,vi,viTrue,m,N,hack,signif,affirm,Di,Mu,T2,t2w,se,Nmax,k,k.hacked
1,5.59473140520462e-07,5.07076329901564,1.96472939098769,1.24778274508408,1.96798534634174,2.50780373841624,0.244590967092624,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,2000,0
2,0.265315333140622,-1.11516770867421,1.96472939098769,1.41180537863807,0.94586913609379,-0.567925677990478,0.259359786338403,0.25,500,1,no,FALSE,FALSE,1,1,0.25,0.25,0.5,1,2000,0
3,0.00203846644922835,3.10089767646148,1.96472939098769,1.8215032288425,1.64896606121576,1.63924898252409,0.27945698827878,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,2000,0
4,0.712588942062482,0.368590982383394,1.96472939098769,1.192576930394,0.556360198752485,0.179438207344667,0.236995681130101,0.25,500,1,no,FALSE,FALSE,1,1,0.25,0.25,0.5,1,2000,0
5,0.00179766391240844,3.13866064918346,1.96472939098769,1.54133639740167,2.09470588037271,1.68995743724019,0.289909741384692,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,2000,0
6,0.190585603186441,-1.31063024813405,1.96472939098769,0.378484011677775,-0.524721754621763,-0.669578402905978,0.261001197895273,0.25,500,1,no,FALSE,FALSE,1,1,0.25,0.25,0.5,1,2000,0
7,0.000481195134519304,3.51421411602627,1.96472939098769,0.757783809679944,1.4208825751027,1.73839455041114,0.2447035477865,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,2000,0
8,0.00483677482537007,2.83038048485173,1.96472939098769,1.04649428616355,1.12282387999086,1.47250637899567,0.270660405029143,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,2000,0
9,0.0333803079762183,2.13338499959113,1.96472939098769,1.08245431390201,0.938686498538382,1.09465249002552,0.263277693362708,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,2000,0
10,0.0144951315725469,2.45332696372886,1.96472939098769,1.07609780913736,1.51490097508379,1.28086368273138,0.272580610444031,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,2000,0
11,0.0255347516391123,2.2399334765162,1.96472939098769,1.62509384784638,1.51487098730847,1.06201201313259,0.224796019994345,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,2000,0
