meta,d,var,kvarven.original,kvarven.replication,kvarven.metaanalysis,kvarven.effecto,kvarven.originalinc,kvarven.replication_inc,kvarven.noconvert,kvarven.publi,kvarven.tausqrm,kvarven.originalu,kvarven.replication_s,kvarven.meta_s,kvarven.ser,kvarven.sem,kvarven.sed,kvarven.weight,kvarven.ml,kvarven.threepsm,kvarven.threepsmse,kvarven.diff,kvarven.seo
Belle,0.60399997,0.082369,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,-0.018999999,0.033489,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.14399999,0.028561,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.249,0.072899997,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.42899999,0.035344001,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.75099999,0.030625001,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.121,0.049284,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.31999999,0.018769,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.64700001,0.057121001,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.875,0.093024999,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.77399999,0.062001001,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.62099999,0.068121001,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.63300002,0.059048999,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.38600001,0.034968998,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Belle,0.38600001,0.0361,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939
Blanken,0.08,0.06,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.27,0.04,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,-0.05,0.01,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,-0.08,0.05,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.07,0.05,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.05,0.11,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.49,0.08,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.03,0.09,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.3,0.06,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.54,0.06,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,-0.11,0.07,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.12,0.08,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.61,0.1,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.48,0.1,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.63,0.09,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.22,0.08,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.86,0.07,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.24,0.03,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,-0.19,0.06,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
Blanken,0.04,0.07,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163
