Study number,Study code,Study reference,Experiment number,Study short name,Retrieved from,Document Type,On money priming?,Empirical?,Random Assignment,Neutral Comparison?,Eligible?,Why not?,Able to compute effect size?,Included?,Notes,dep,prime,prime (extra notes).,year ,jrnl,published,replication,Preregistered,Prime Type (coder 1),Prime Type (coder 2),Prime Type (coder agreement),Prime Type (final code),Setting (coder 1),Setting (coder 2),Setting (code agreement),Setting (final code),Behavioral vs non-behavioral (coder 1),Behavioral vs non-behavioral (coder 2),Behavioral vs non-behavioral (code agreement),Behavioral vs. Non-behavioral,Problems?,Multiple DV?,Interaction?,Notes ,2nd factor,Simple main effect,Interaction Identification (1=Largest predicted effect),Notes,Contact Author?,Information to seek,Aggregated across DVs?,d,var of d,g,var of g,Notes.,Notes:    1st DV,Effect size (D) (Reported),significance,n1,n2,N,m1 ,m2,sd1,sd2,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,percent1,percent2,Odds ratio,A,B,C,D,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 2nd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 3rd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,Notes,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g
1,1,"Aarts, H., Chartrand, T. L., Custers, R., Danner, U., Dik, G., Jefferis, V. E., & Cheng, C. M. (2005). Social stereotypes and automatic goal pursuit. Social Cognition, 23(6), 465–490. doi:10.1521/soco.2005.23.6.465",2,,PsycINFO,Journal,1,1,1,1,1,,0,0,Cannot compute effect size,Time taken on a mouse-click task (lesser time is indicative of greater goals directed behavior). ,Sentence descrambling,"Primes money-making goals. More specifically, primes were social groups who goals are to make money (e.g., manager, stockbrocker). ",2005,Social Cognition,1,0,,2,2,1,2,1,1,1,1,1,,,,0,0,1,,Time constraint (No vs. Yes),Time constraint = No,0,,1,"Means, SDs and n (Author responded: info not available anymore)",2.973469388,,,,,Author no longer have data. ,,,0,,,,,,,,-1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
1,1,"Aarts, H., Chartrand, T. L., Custers, R., Danner, U., Dik, G., Jefferis, V. E., & Cheng, C. M. (2005). Social stereotypes and automatic goal pursuit. Social Cognition, 23(6), 465–490. doi:10.1521/soco.2005.23.6.465",2,"Aarts, H., Chartrand, T. L., Custers, R., Danner, U., Dik, G., Jefferis, V. E., & Cheng, C. M. (2005), Study 2",PsycINFO,Journal,1,1,1,1,1,,1,1,,Time taken on a mouse-click task (lesser time is indicative of greater goals directed behavior). ,Sentence descrambling,"Primes money-making goals. More specifically, primes were social groups who goals are to make money (e.g., manager, stockbrocker). ",2005,Social Cognition,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,1,Means and SDs not provided. Effect size from F-test,Time constraint (No vs. Yes),Time constraint = Yes,1,,,,,0.827043,0.11,0.810612,0.10428,,,,1,20,20,40,,,,,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,F,6.84,0.827043,0.10855,0.810612,0.10428,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,2,"Adam, H., Obodaru, O., & Galinsky, A. D. (2015). Who you are is where you are: Antecedents and consequences of locating the self in the brain or the heart. Organizational Behavior and Human Decision Processes, 128, 74–83. doi:10.1016/j.obhdp.2015.03.004",,,PsycINFO,Journal,0,,,,0,Not about money priming. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3,3,"Allensworth, D. D. (2011). Addressing the social determinants of health of children and youth: A role for SOPHE members. Health Education & Behavior, 38(4), 331–338. doi:10.1177/1090198111417709",,,PsycINFO,Journal,,0,,,0,Not empirical paper. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,4,"Applegate, E., & Hollifield, C. A. (2009). The economic impact of advertising: What’s the controversy? In C. J. Pardun & C. J. (Ed) Pardun (Eds.), Advertising and society: Controversies and consequences. (pp. 6–18). Wiley-Blackwell. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-01234-002&site=ehost-live",,,,Book / Book Chapter,,,,,0,"Book chapter, no access. ",,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,5,"Ash, P. (2004). Legal Consultations. In H. Steiner & H. (Ed) Steiner (Eds.), Handbook of mental health interventions in children and adolescents: An integrated developmental approach. (pp. 942–962). San Francisco, CA, US: Jossey-Bass. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-05476-034&site=ehost-live",,,,Book / Book Chapter,,,,,0,"Book chapter, no access.",,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,6,"Atchley, R. A., & Kwasny, K. M. (2003). Using event-related potentials to examine hemispheric differences in semantic processing. Brain and Cognition, 53(2), 133–138. doi:10.1016/S0278-2626(03)00095-2",,,PsycINFO,Journal,0,,,,0,Not about money priming. ,,,,,,,,,,,,,,1,2,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,7,"Austin, T. M., Richter, R. R., & Reinking, M. F. (2008). A primer on web surveys. Journal of Allied Health, 37(3), 180–186. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-14093-011&site=ehost-live",,,PsycINFO,Journal,0,0,,,0,Not about money priming. Not an empirical paper. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
8,8,"Baker, T. E., Wood, J. M. A., & Holroyd, C. B. (2016). Atypical valuation of monetary and cigarette rewards in substance dependent smokers. Clinical Neurophysiology, 127(2), 1358–1365. doi:10.1016/j.clinph.2015.11.002",,,PsycINFO,Journal,0,,,,0,This study is about how individuals dependent on tobacco value monetary reward vs cigratte rewards. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
9,9,"Bar-Anan, Y., Wilson, T. D., & Hassin, R. R. (2010). Inaccurate self-knowledge formation as a result of automatic behavior. Journal of Experimental Social Psychology, 46(6), 884–894. doi:10.1016/j.jesp.2010.07.007",4,,PsycINFO,Journal,1,1,1,1,0,"DV is more like a manipulation check, measuring concept activation. ",,,,"Choice between two trivia games (one with a money in its picture, one without).",Read passage,"Primes money-making goals. More specfically, read passage on describing a person who plans to earn money. ",2010,Journal of Experimental Social Psychology,1,0,,,,1,1,,,,1,,,,,0,0,0,DV in proportion. ,,,,,,,,,,,,,,,1,63.5,63.5,127,60% (38.1/63.5),45% (28.575/ 63.5),,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.606135804,,,,,,,,0.129245208,,,0.33,0.04,0.33,0.04,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
