"rp","effect","Site","country","in_lab","Ntotal","B_or_W","design","or_stat_test","effect_type","effect_size","ntreatment","ncontrol","outcomes1_2","outcome_t1","outcome_c1","outcome_t2","outcome_c2","ml2_ncp_variance"
"ML1","Sunk Costs","abington","USA",1,84,"Between","control vs. treatment","Independent samples t-test","d",0.572529229442946,36,48,"mean _ SD",8.27777777777778,7,1.3225756497102,2.86579237863576,NA
"ML1","Sunk Costs","brasilia","BRA",1,120,"Between","control vs. treatment","Independent samples t-test","d",0.235853371616288,65,55,"mean _ SD",7.83076923076923,7.25454545454545,2.2119648418405,2.65426408729762,NA
"ML1","Sunk Costs","charles","CZE",1,84,"Between","control vs. treatment","Independent samples t-test","d",0.480861601163547,35,49,"mean _ SD",7.8,6.79591836734694,1.71155244287339,2.406411503989,NA
"ML1","Sunk Costs","conncoll","USA",1,95,"Between","control vs. treatment","Independent samples t-test","d",0.401215926977269,50,45,"mean _ SD",8.22,7.53333333333333,1.26636229783887,2.06265495285699,NA
"ML1","Sunk Costs","csun","USA",0,96,"Between","control vs. treatment","Independent samples t-test","d",0.521966144288116,50,46,"mean _ SD",8.34,7.45652173913043,1.3032142367772,2.00783489515039,NA
"ML1","Sunk Costs","help","MYS",1,102,"Between","control vs. treatment","Independent samples t-test","d",-0.062575691425059,58,44,"mean _ SD",7.74137931034483,7.86363636363636,2.23654138400599,1.62238568366277,NA
"ML1","Sunk Costs","ithaca","USA",1,90,"Between","control vs. treatment","Independent samples t-test","d",0.236920105759994,35,55,"mean _ SD",8.34285714285714,7.98181818181818,1.41302464786082,1.62720971230246,NA
"ML1","Sunk Costs","jmu","USA",0,174,"Between","control vs. treatment","Independent samples t-test","d",0.577944682826309,81,93,"mean _ SD",8.50617283950617,7.48387096774194,1.16322242918244,2.21463954877443,NA
"ML1","Sunk Costs","ku","TUR",0,113,"Between","control vs. treatment","Independent samples t-test","d",0.500380962373074,52,61,"mean _ SD",7.71153846153846,6.55737704918033,1.78596421435657,2.7296189609781,NA
"ML1","Sunk Costs","laurier","CAN",1,112,"Between","control vs. treatment","Independent samples t-test","d",0.449693990402699,55,57,"mean _ SD",8.36363636363636,7.57894736842105,1.09483021453246,2.21155543534613,NA
"ML1","Sunk Costs","lse","GBR",1,276,"Between","control vs. treatment","Independent samples t-test","d",0.407394222355169,155,121,"mean _ SD",8.20645161290323,7.44628099173554,1.67757080944306,2.03695202538474,NA
"ML1","Sunk Costs","luc","USA",1,146,"Between","control vs. treatment","Independent samples t-test","d",0.271423402857235,74,72,"mean _ SD",8.14864864864865,7.65277777777778,1.69352054828511,1.95123451151722,NA
"ML1","Sunk Costs","mcdaniel","USA",0,97,"Between","control vs. treatment","Independent samples t-test","d",0.149634624494122,51,46,"mean _ SD",8.11764705882353,7.8695652173913,1.6204574517528,1.69454937506733,NA
"ML1","Sunk Costs","msvu","CAN",1,85,"Between","control vs. treatment","Independent samples t-test","d",0.334251583918443,40,45,"mean _ SD",8.1,7.37777777777778,1.93218356615859,2.36728545047707,NA
"ML1","Sunk Costs","mturk","USA",0,999,"Between","control vs. treatment","Independent samples t-test","d",0.305151570019973,522,477,"mean _ SD",7.30459770114942,6.51991614255765,2.37895804766446,2.75050064069539,NA
"ML1","Sunk Costs","osu","USA",1,107,"Between","control vs. treatment","Independent samples t-test","d",0.466142760762426,47,60,"mean _ SD",7.78723404255319,6.81666666666667,1.68027133177387,2.41809328629872,NA
"ML1","Sunk Costs","oxy","USA",1,122,"Between","control vs. treatment","Independent samples t-test","d",0.693306754706557,56,66,"mean _ SD",8.375,6.87878787878788,1.59045448050092,2.6048189159866,NA
"ML1","Sunk Costs","pi","USA",0,1323,"Between","control vs. treatment","Independent samples t-test","d",0.183659998685749,683,640,"mean _ SD",7.37481698389458,6.8953125,2.4620422977358,2.75157827451491,NA
"ML1","Sunk Costs","psu","USA",1,95,"Between","control vs. treatment","Independent samples t-test","d",0.151781314380958,48,47,"mean _ SD",8.3125,8.06382978723404,1.47541916150213,1.78647400252624,NA
"ML1","Sunk Costs","qccuny","USA",1,102,"Between","control vs. treatment","Independent samples t-test","d",-0.08148733929059,53,49,"mean _ SD",7.58490566037736,7.75510204081633,2.29911322590782,1.85439356939245,NA
"ML1","Sunk Costs","qccuny2","USA",1,86,"Between","control vs. treatment","Independent samples t-test","d",0.141311088540304,41,45,"mean _ SD",7.73170731707317,7.37777777777778,2.41892941447144,2.58746004702478,NA
"ML1","Sunk Costs","sdsu","USA",1,162,"Between","control vs. treatment","Independent samples t-test","d",0.271909717192934,88,74,"mean _ SD",8.53409090909091,8.16216216216216,1.02776248023484,1.63880199333025,NA
"ML1","Sunk Costs","swps","POL",1,79,"Between","control vs. treatment","Independent samples t-test","d",-0.067273432147973,40,39,"mean _ SD",8.15,8.25641025641026,1.54504999504207,1.61763226446864,NA
"ML1","Sunk Costs","swpson","POL",0,168,"Between","control vs. treatment","Independent samples t-test","d",0.12323910177108,90,78,"mean _ SD",7.88888888888889,7.64102564102564,2.07956588190385,1.94050708980095,NA
"ML1","Sunk Costs","tamu","USA",1,187,"Between","control vs. treatment","Independent samples t-test","d",0.348856605935119,94,93,"mean _ SD",8.46808510638298,7.89247311827957,1.17959467851557,2.01333794648825,NA
"ML1","Sunk Costs","tamuc","USA",1,87,"Between","control vs. treatment","Independent samples t-test","d",0.37859325287992,47,40,"mean _ SD",7.53191489361702,6.6,2.52682188967973,2.39443799947573,NA
"ML1","Sunk Costs","tamuon","USA",0,225,"Between","control vs. treatment","Independent samples t-test","d",0.311029654991583,131,94,"mean _ SD",8.45801526717557,7.96808510638298,1.27254766865367,1.82840272063024,NA
"ML1","Sunk Costs","tilburg","NLD",1,80,"Between","control vs. treatment","Independent samples t-test","d",0.520156084364071,37,43,"mean _ SD",8.51351351351351,7.62790697674419,0.837377573858532,2.25750869653921,NA
"ML1","Sunk Costs","ufl","USA",1,127,"Between","control vs. treatment","Independent samples t-test","d",0.14841251010978,61,66,"mean _ SD",8.04918032786885,7.74242424242424,1.99521285003377,2.13621236383541,NA
"ML1","Sunk Costs","unipd","ITA",0,144,"Between","control vs. treatment","Independent samples t-test","d",0.445136042324225,81,63,"mean _ SD",8.24691358024691,7.28571428571429,1.32788237616826,2.74994763251354,NA
"ML1","Sunk Costs","uva","USA",1,81,"Between","control vs. treatment","Independent samples t-test","d",0.433308536642657,46,35,"mean _ SD",8.15217391304348,7.42857142857143,1.563008371405,1.77043886692329,NA
"ML1","Sunk Costs","vcu","USA",1,108,"Between","control vs. treatment","Independent samples t-test","d",0.32709525709459,54,54,"mean _ SD",8.40740740740741,7.88888888888889,1.53596529194422,1.63299316185545,NA
"ML1","Sunk Costs","wisc","USA",1,96,"Between","control vs. treatment","Independent samples t-test","d",0.13453707001146,48,48,"mean _ SD",7.60416666666667,7.3125,1.83047004001046,2.45951257928468,NA
"ML1","Sunk Costs","wku","USA",1,102,"Between","control vs. treatment","Independent samples t-test","d",0.046167248053162,44,58,"mean _ SD",7.72727272727273,7.63793103448276,2.08386533024275,1.77406536660431,NA
"ML1","Sunk Costs","wl","USA",1,89,"Between","control vs. treatment","Independent samples t-test","d",0.254056436082212,48,41,"mean _ SD",8.10416666666667,7.65853658536585,1.49095975562984,1.98254578884778,NA
"ML1","Sunk Costs","wpi","USA",1,87,"Between","control vs. treatment","Independent samples t-test","d",0.414062944685611,47,40,"mean _ SD",8.46808510638298,7.8,1.36495045028378,1.82854853465522,NA
"ML1","Anchoring 1 - NYC","abington","USA",1,68,"Between","control vs. treatment","Independent samples t-test","d",1.10297228208469,37,31,"mean _ SD",3485.81081081081,1895.93548387097,1337.61027765186,1538.28920526417,NA
