V1,meta.name,author.year,meta.study.type,coder,key.title,group,discipline,meta.journal,study.name,study.journal,study.year,point.est,effect.measure,var,se,ci.hi,n,flag.group,flag.discipline,flag.study.year,flag.effect.measure,flag.est,flag.se,flag.var,flag.n,flag.ci.hi,total.flags,SJR,SJR.hand.coded,SJR.topic.cats,SJR.type,hif.thresh,hif,SE,Est,Analysis.Scale,Mhat.to.reproduce,Mhat.hi.to.reproduce,flip,Exposure..with.largest.sub.meta.analysis.,Outcome..with.largest.sub.meta.analysis.,Reported.pooled.estimate,Reported.CI.hi,Data.source,EstF,Pval.One,Pval.Two,signif,affirm,Eta.AllEsts,EtaInv.AllEsts,VarEtaInv.AllEsts,LoEtaInv.AllEsts,HiEtaInv.AllEsts,LogEta.AllEsts,VarLogEta.AllEsts,LoLogEta.AllEsts,HiLogEta.AllEsts,shapiro.pval.AllEsts,n.coders,coders,status,use,randomly.chosen,Eta,EtaInv,VarEtaInv,LoEtaInv,HiEtaInv,LogEta,VarLogEta,LoLogEta,HiLogEta,shapiro.pval,group.pretty,Qi,early.within,small.SE.within,year.rk,n.first.yr,first2,n.first2,X,Sval.Est,Sval.CI,Mhat.Worst,Mhat.Worst.Lo,Mhat.Worst.Hi,Mhat.Worst.Pval,Mhat,Mhat.Lo,Mhat.Hi,Mhat.Pval,Sval.Est.Num,Sval.CI.Num,yi,vi,sei,Zi
578,24699695,Van Yperen 2014,Unclear,mbm,,plos,soc,,40,,,0.234189467,z,0.001915709,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0437688130979125,0.234189467,z,0.10461625640051,0.131647439618788,FALSE,"Self-reported performance-approach goals (i.e., goals to outperform others) at work, sports, or education",Achievement in that domain,0.1,0.12,public,0.234189467,0.0000000438312395267815,0.0000000876624790535629,1,TRUE,1.04016461276647,0.961386291868123,0.107788130260205,0.317908503786675,1.60486407994957,0.0393789821343077,0.116620550679027,-0.629943842129258,0.708701806397873,0.016527974563016,2,mbm tb,slightly discrepant,TRUE,1,1.09932353708809,0.909650313363453,0.0975700347191055,0.29743199404661,1.5218686326803,0.0946950243514455,0.117914581136805,-0.578330983910071,0.767721032612962,0.0201641206017874,PLOS One,0.864583333333333,,TRUE,,1,,1,5,Not possible,14.2457417602629,0.0188271901076217,-0.0107322101677014,0.0483865903829449,0.206670465879248,0.105579961081627,0.0777704101576822,0.133389512005571,0.0000000000346815909324505,Inf,14.2457417602629,0.234189467,0.001915709,0.0437688130979125,5.35060127118616
579,24699695,Van Yperen 2014,Unclear,mbm,,plos,soc,,41,,,0.090244188,z,0.001488095,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0385758344044559,0.090244188,z,0.10461625640051,0.131647439618788,FALSE,"Self-reported performance-approach goals (i.e., goals to outperform others) at work, sports, or education",Achievement in that domain,0.1,0.12,public,0.090244188,0.00965745052460532,0.0193149010492106,1,TRUE,1.04016461276647,0.961386291868123,0.107788130260205,0.317908503786675,1.60486407994957,0.0393789821343077,0.116620550679027,-0.629943842129258,0.708701806397873,0.016527974563016,2,mbm tb,slightly discrepant,TRUE,1,1.09932353708809,0.909650313363453,0.0975700347191055,0.29743199404661,1.5218686326803,0.0946950243514455,0.117914581136805,-0.578330983910071,0.767721032612962,0.0201641206017874,PLOS One,0.4375,,TRUE,,1,,1,5,Not possible,14.2457417602629,0.0188271901076217,-0.0107322101677014,0.0483865903829449,0.206670465879248,0.105579961081627,0.0777704101576822,0.133389512005571,0.0000000000346815909324505,Inf,14.2457417602629,0.090244188,0.001488095,0.0385758344044559,2.33939691501724
580,24699695,Van Yperen 2014,Unclear,mbm,,plos,soc,,33,,,0.010000333,z,0.01086957,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0.10425722996512,0.010000333,z,0.10461625640051,0.131647439618788,FALSE,"Self-reported performance-approach goals (i.e., goals to outperform others) at work, sports, or education",Achievement in that domain,0.1,0.12,public,0.010000333,0.461792133135426,0.923584266270852,0,FALSE,1.04016461276647,0.961386291868123,0.107788130260205,0.317908503786675,1.60486407994957,0.0393789821343077,0.116620550679027,-0.629943842129258,0.708701806397873,0.016527974563016,2,mbm tb,slightly discrepant,TRUE,1,1.09932353708809,0.909650313363453,0.0975700347191055,0.29743199404661,1.5218686326803,0.0946950243514455,0.117914581136805,-0.578330983910071,0.767721032612962,0.0201641206017874,PLOS One,0.239583333333333,,FALSE,,1,,1,5,Not possible,14.2457417602629,0.0188271901076217,-0.0107322101677014,0.0483865903829449,0.206670465879248,0.105579961081627,0.0777704101576822,0.133389512005571,0.0000000000346815909324505,Inf,14.2457417602629,0.010000333,0.0108695699999999,0.10425722996512,0.0959198033876949
581,24699695,Van Yperen 2014,Unclear,mbm,,plos,soc,,38,,,0.100335348,z,0.002624672,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0512315527775608,0.100335348,z,0.10461625640051,0.131647439618788,FALSE,"Self-reported performance-approach goals (i.e., goals to outperform others) at work, sports, or education",Achievement in that domain,0.1,0.12,public,0.100335348,0.025087571153555,0.05017514230711,0,FALSE,1.04016461276647,0.961386291868123,0.107788130260205,0.317908503786675,1.60486407994957,0.0393789821343077,0.116620550679027,-0.629943842129258,0.708701806397873,0.016527974563016,2,mbm tb,slightly discrepant,TRUE,1,1.09932353708809,0.909650313363453,0.0975700347191055,0.29743199404661,1.5218686326803,0.0946950243514455,0.117914581136805,-0.578330983910071,0.767721032612962,0.0201641206017874,PLOS One,0.46875,,TRUE,,1,,1,5,Not possible,14.2457417602629,0.0188271901076217,-0.0107322101677014,0.0483865903829449,0.206670465879248,0.105579961081627,0.0777704101576822,0.133389512005571,0.0000000000346815909324505,Inf,14.2457417602629,0.100335348,0.002624672,0.0512315527775608,1.95846783008198
582,24699695,Van Yperen 2014,Unclear,mbm,,plos,soc,,39,,,0.030009005,z,0.005988024,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0.077382323562943,0.030009005,z,0.10461625640051,0.131647439618788,FALSE,"Self-reported performance-approach goals (i.e., goals to outperform others) at work, sports, or education",Achievement in that domain,0.1,0.12,public,0.030009005,0.349081353649748,0.698162707299496,0,FALSE,1.04016461276647,0.961386291868123,0.107788130260205,0.317908503786675,1.60486407994957,0.0393789821343077,0.116620550679027,-0.629943842129258,0.708701806397873,0.016527974563016,2,mbm tb,slightly discrepant,TRUE,1,1.09932353708809,0.909650313363453,0.0975700347191055,0.29743199404661,1.5218686326803,0.0946950243514455,0.117914581136805,-0.578330983910071,0.767721032612962,0.0201641206017874,PLOS One,0.291666666666667,,FALSE,,1,,1,5,Not possible,14.2457417602629,0.0188271901076217,-0.0107322101677014,0.0483865903829449,0.206670465879248,0.105579961081627,0.0777704101576822,0.133389512005571,0.0000000000346815909324505,Inf,14.2457417602629,0.030009005,0.005988024,0.077382323562943,0.387801808194485
583,24699695,Van Yperen 2014,Unclear,mbm,,plos,soc,,32,,,0,z,0.006578947,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0811107082942813,0,z,0.10461625640051,0.131647439618788,FALSE,"Self-reported performance-approach goals (i.e., goals to outperform others) at work, sports, or education",Achievement in that domain,0.1,0.12,public,0,0.5,1,0,FALSE,1.04016461276647,0.961386291868123,0.107788130260205,0.317908503786675,1.60486407994957,0.0393789821343077,0.116620550679027,-0.629943842129258,0.708701806397873,0.016527974563016,2,mbm tb,slightly discrepant,TRUE,1,1.09932353708809,0.909650313363453,0.0975700347191055,0.29743199404661,1.5218686326803,0.0946950243514455,0.117914581136805,-0.578330983910071,0.767721032612962,0.0201641206017874,PLOS One,0.177083333333333,,FALSE,,1,,1,5,Not possible,14.2457417602629,0.0188271901076217,-0.0107322101677014,0.0483865903829449,0.206670465879248,0.105579961081627,0.0777704101576822,0.133389512005571,0.0000000000346815909324505,Inf,14.2457417602629,0,0.00657894699999999,0.0811107082942813,0
584,24699695,Van Yperen 2014,Unclear,mbm,,plos,soc,,50,,,0.040021354,z,0.01388889,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0.117851134911803,0.040021354,z,0.10461625640051,0.131647439618788,FALSE,"Self-reported performance-approach goals (i.e., goals to outperform others) at work, sports, or education",Achievement in that domain,0.1,0.12,public,0.040021354,0.367081737553107,0.734163475106214,0,FALSE,1.04016461276647,0.961386291868123,0.107788130260205,0.317908503786675,1.60486407994957,0.0393789821343077,0.116620550679027,-0.629943842129258,0.708701806397873,0.016527974563016,2,mbm tb,slightly discrepant,TRUE,1,1.09932353708809,0.909650313363453,0.0975700347191055,0.29743199404661,1.5218686326803,0.0946950243514455,0.117914581136805,-0.578330983910071,0.767721032612962,0.0201641206017874,PLOS One,0.3125,,FALSE,,1,,1,5,Not possible,14.2457417602629,0.0188271901076217,-0.0107322101677014,0.0483865903829449,0.206670465879248,0.105579961081627,0.0777704101576822,0.133389512005571,0.0000000000346815909324505,Inf,14.2457417602629,0.040021354,0.01388889,0.117851134911803,0.339592436084311
585,24699695,Van Yperen 2014,Unclear,mbm,,plos,soc,,51,,,0.010000333,z,0.006097561,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0780868811004768,0.010000333,z,0.10461625640051,0.131647439618788,FALSE,"Self-reported performance-approach goals (i.e., goals to outperform others) at work, sports, or education",Achievement in that domain,0.1,0.12,public,0.010000333,0.449048074899509,0.898096149799017,0,FALSE,1.04016461276647,0.961386291868123,0.107788130260205,0.317908503786675,1.60486407994957,0.0393789821343077,0.116620550679027,-0.629943842129258,0.708701806397873,0.016527974563016,2,mbm tb,slightly discrepant,TRUE,1,1.09932353708809,0.909650313363453,0.0975700347191055,0.29743199404661,1.5218686326803,0.0946950243514455,0.117914581136805,-0.578330983910071,0.767721032612962,0.0201641206017874,PLOS One,0.239583333333333,,FALSE,,1,,1,5,Not possible,14.2457417602629,0.0188271901076217,-0.0107322101677014,0.0483865903829449,0.206670465879248,0.105579961081627,0.0777704101576822,0.133389512005571,0.0000000000346815909324505,Inf,14.2457417602629,0.010000333,0.006097561,0.0780868811004768,0.128066748973266
586,24699695,Van Yperen 2014,Unclear,mbm,,plos,soc,,52,,,0.234189467,z,0.006134969,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0783260429231555,0.234189467,z,0.10461625640051,0.131647439618788,FALSE,"Self-reported performance-approach goals (i.e., goals to outperform others) at work, sports, or education",Achievement in that domain,0.1,0.12,public,0.234189467,0.00139520217862221,0.00279040435724442,1,TRUE,1.04016461276647,0.961386291868123,0.107788130260205,0.317908503786675,1.60486407994957,0.0393789821343077,0.116620550679027,-0.629943842129258,0.708701806397873,0.016527974563016,2,mbm tb,slightly discrepant,TRUE,1,1.09932353708809,0.909650313363453,0.0975700347191055,0.29743199404661,1.5218686326803,0.0946950243514455,0.117914581136805,-0.578330983910071,0.767721032612962,0.0201641206017874,PLOS One,0.864583333333333,,FALSE,,1,,1,5,Not possible,14.2457417602629,0.0188271901076217,-0.0107322101677014,0.0483865903829449,0.206670465879248,0.105579961081627,0.0777704101576822,0.133389512005571,0.0000000000346815909324505,Inf,14.2457417602629,0.234189467,0.006134969,0.0783260429231555,2.98993104030239
587,24699695,Van Yperen 2014,Unclear,mbm,,plos,soc,,101,,,0.120581028,z,0.002680965,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0517780358839537,0.120581028,z,0.10461625640051,0.131647439618788,FALSE,"Self-reported performance-approach goals (i.e., goals to outperform others) at work, sports, or education",Achievement in that domain,0.1,0.12,public,0.120581028,0.00993465870134991,0.0198693174026998,1,TRUE,1.04016461276647,0.961386291868123,0.107788130260205,0.317908503786675,1.60486407994957,0.0393789821343077,0.116620550679027,-0.629943842129258,0.708701806397873,0.016527974563016,2,mbm tb,slightly discrepant,TRUE,1,1.09932353708809,0.909650313363453,0.0975700347191055,0.29743199404661,1.5218686326803,0.0946950243514455,0.117914581136805,-0.578330983910071,0.767721032612962,0.0201641206017874,PLOS One,0.541666666666667,,TRUE,,1,,1,5,Not possible,14.2457417602629,0.0188271901076217,-0.0107322101677014,0.0483865903829449,0.206670465879248,0.105579961081627,0.0777704101576822,0.133389512005571,0.0000000000346815909324505,Inf,14.2457417602629,0.120581028,0.002680965,0.0517780358839537,2.32880652851046
