study,pval,tstat,tcrit,mui,muin,yi,vi,N,hack,signif,affirm,Di,Mu,T2,m,t2w,se,Nmax,k,k.hacked
1,0.000168761427404245,3.79044881958523,1.96472939098769,1.49038113610763,1.68773307574253,1.9065732214307,0.253003019205454,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
2,0.0619340265097543,1.87097155585509,1.96472939098769,1.46567936579279,1.27617617345901,0.971465354886841,0.269600233567031,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
3,0.390766907994941,0.858974702694745,1.96472939098769,0.176678819456362,0.400655613160964,0.450168209262983,0.274655877046967,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
4,0.00190136102491095,3.12185999545529,1.96472939098769,0.695569188483352,0.659969635763274,1.571508399949,0.253399975362026,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
5,0.00208340854735665,3.09430836051015,1.96472939098769,1.37589967996253,0.333208281956013,1.53202227004555,0.245133674545623,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
6,8.94402826688684e-06,4.48778139453175,1.96472939098769,1.47877965179945,1.66322912011738,2.32377606476233,0.268117499667692,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
7,0.947335318796668,-0.0660866361781913,1.96472939098769,1.66333063015211,0.979222121149173,-0.0323851456076925,0.240139949265602,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
8,0.117658898303813,1.56738380223658,1.96472939098769,0.775345544012504,0.528639521807745,0.77477654913084,0.244344307349659,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
9,0.00135380280060185,3.22250576179883,1.96472939098769,1.5433262789049,1.78860530327256,1.63116987422363,0.256218791715236,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
10,0.15477851440202,1.42501325581031,1.96472939098769,1.06359913231083,0.560297396902669,0.715914617843247,0.252397269149092,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
11,2.38618463548341e-09,6.08035404083038,1.96472939098769,1.85234916258419,1.867325785142,3.01249149450691,0.245467457009615,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
12,0.684422804992949,0.406672635301735,1.96472939098769,0.252934443047513,0.0329478343145405,0.214846262734104,0.279103772675304,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
13,0.0015060144314738,3.19121417178996,1.96472939098769,0.924767278745987,1.22398080880227,1.63521758087663,0.262566425346206,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
14,0.00354558194773975,2.92993762805775,1.96472939098769,1.20493859032,1.98124551805595,1.46963111819524,0.25159379608571,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
