study,pval,tstat,tcrit,mui,muin,yi,vi,viTrue,m,N,hack,signif,affirm,Di,Mu,T2,t2w,se,Nmax,k,k.hacked
1,0.456776644565848,0.744744735177164,1.96472939098769,1.18570566809357,0.781558324485359,0.386456299785968,0.269268715818071,0.25,500,1,no,FALSE,FALSE,1,1,0.25,0.25,0.5,1,10000,0
2,0.288062206691561,1.06351641873487,1.96472939098769,0.293023043183875,0.929118073417798,0.532001423747671,0.250228741180085,0.25,500,1,no,FALSE,FALSE,1,1,0.25,0.25,0.5,1,10000,0
3,7.08375999491204e-05,4.0071265923194,1.96472939098769,0.939587308958311,1.26075571700968,2.10814878337975,0.276781074287182,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,10000,0
4,0.0650437624358154,1.84903675212264,1.96472939098769,1.047683616037,1.17163600583636,0.862094705782003,0.21737964202011,0.25,500,1,no,FALSE,FALSE,1,1,0.25,0.25,0.5,1,10000,0
5,0.00177844409780156,3.14187237814002,1.96472939098769,1.67511510998503,1.71342666060033,1.62888748135612,0.268785038582083,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,10000,0
6,0.726568425466541,0.349890603840242,1.96472939098769,0.573958656806048,0.174881094703278,0.177953791254084,0.258672303311583,0.25,500,1,no,FALSE,FALSE,1,1,0.25,0.25,0.5,1,10000,0
7,0.0345999173883432,2.11881052894275,1.96472939098769,1.30097077042021,0.836141124893557,1.07547669222007,0.257642651951361,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,10000,0
8,0.95711823120204,-0.0537972499614682,1.96472939098769,1.33566527075485,0.190445346192642,-0.025751661877252,0.229134440354035,0.25,500,1,no,FALSE,FALSE,1,1,0.25,0.25,0.5,1,10000,0
9,0.0188654172330375,2.35586693594964,1.96472939098769,1.03378575204527,2.16465526611897,1.20614583258295,0.262118773566585,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,10000,0
10,0.736089251737691,-0.337224782736807,1.96472939098769,0.34866967751362,0.50331402233162,-0.170404323104256,0.255341996567807,0.25,500,1,no,FALSE,FALSE,1,1,0.25,0.25,0.5,1,10000,0
11,0.00873870325331595,2.63249502763957,1.96472939098769,1.11994662526848,1.3843022124529,1.34205049655299,0.259897795098017,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,10000,0
12,0.0126381268580725,2.50285740000002,1.96472939098769,1.85612833549952,1.64118876478036,1.27071070776461,0.257763349325825,0.25,500,1,no,TRUE,TRUE,1,1,0.25,0.25,0.5,1,10000,0
